,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
1536,0.5,.,.,.,.,0,0,1.0,1,1,1,hit
1537,0.5,.,A1_1,.,A1,0,1,-0.09,0,0,1,cr
1538,0.5,.,A1_2,.,A1,0,2,-0.04,0,0,1,cr
1539,0.5,.,A1_3,.,A1,0,3,0.01,0,0,1,cr
1540,0.5,.,A2_1,.,A2,0,4,-0.16,0,0,1,cr
1541,0.5,.,A2_2,.,A2,0,5,-0.1,0,0,1,cr
1542,0.5,.,A2_3,.,A2,0,6,-0.12,0,0,1,cr
1543,0.5,.,B1_1,.,B1,0,7,-0.03,0,0,1,cr
1544,0.5,.,B1_2,.,B1,0,8,-0.01,0,0,1,cr
1545,0.5,.,B1_3,.,B1,0,9,-0.01,0,0,1,cr
1546,0.5,.,B2_1,.,B2,0,10,-0.12,0,0,1,cr
1547,0.5,.,B2_2,.,B2,0,11,-0.03,0,0,1,cr
1548,0.5,.,B2_3,.,B2,0,12,-0.07,0,0,1,cr
1549,0.5,.,y1,.,y,0,13,0.83,1,0,0,fa
1550,0.5,.,y2,.,y,0,14,0.68,1,0,0,fa
1551,0.5,.,y3,.,y,0,15,0.66,1,0,0,fa
1552,0.5,A1_1,.,A1,.,1,0,-0.09,0,0,1,cr
1553,0.5,A1_1,A1_1,A1,A1,1,1,1.0,1,1,1,hit
1554,0.5,A1_1,A1_2,A1,A1,1,2,0.94,1,1,1,hit
1555,0.5,A1_1,A1_3,A1,A1,1,3,0.49,0,1,0,miss
1556,0.5,A1_1,A2_1,A1,A2,1,4,-0.21,0,0,1,cr
1557,0.5,A1_1,A2_2,A1,A2,1,5,-0.37,0,0,1,cr
1558,0.5,A1_1,A2_3,A1,A2,1,6,-0.11,0,0,1,cr
1559,0.5,A1_1,B1_1,A1,B1,1,7,0.68,1,0,0,fa
1560,0.5,A1_1,B1_2,A1,B1,1,8,0.79,1,0,0,fa
1561,0.5,A1_1,B1_3,A1,B1,1,9,0.31,0,0,1,cr
1562,0.5,A1_1,B2_1,A1,B2,1,10,-0.19,0,0,1,cr
1563,0.5,A1_1,B2_2,A1,B2,1,11,-0.21,0,0,1,cr
1564,0.5,A1_1,B2_3,A1,B2,1,12,-0.3,0,0,1,cr
1565,0.5,A1_1,y1,A1,y,1,13,0.25,0,0,1,cr
1566,0.5,A1_1,y2,A1,y,1,14,0.33,0,0,1,cr
1567,0.5,A1_1,y3,A1,y,1,15,0.4,0,0,1,cr
